Neighborhood,Total Crimes,Density,Average Income,Longitude,Latitude,location,point
Glenfield-Jane Heights,1981,"5,864","27,984",-79.515037536613,43.7467498777167,"Jane Heights, Evergreen Village, Paradise, Newfoundland, Newfoundland and Labrador, A1L 1E7, Canada","(47.5403364, -52.8420152, 0.0)"
Greenwood-Coxwell,885,"8,582","46,206",-79.3234329223129,43.6719512939715,,
Guildwood,402,"2,673","53,203",-79.1982293,43.7552251,"Guildwood, Westlake Road, Guildwood Village, Scarborough—Guildwood, Scarborough, Toronto, Ontario, M1E 1L8, Canada","(43.7552251, -79.1982293, 0.0)"
Henry Farm,472,"6,047","36,359",-79.3408737182129,43.7723007202717,"Henry Farm, Don Valley North, North York, Toronto, Golden Horseshoe, Ontario, M2J 1H5, Canada","(43.7695089, -79.354296, 0.0)"
High Park North,1057,"11,726","57,465",-79.464576721113,43.6576690673715,"High Park North, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada","(43.6547092, -79.4600712, 0.0)"
High Park-Swansea,647,"4,893","71,204",-79.47113800041299,43.647041320871494,"Swansea, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada","(43.64494, -79.478313, 0.0)"
Highland Creek,816,"2,403","40,972",-79.17613983151291,43.78947830207171,"Highland Creek, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1C 3T7, Canada","(43.7901172, -79.1733344, 0.0)"
Hillcrest Village,687,"3,148","40,442",-79.353462219213,43.803028106671704,"Hillcrest Village, Don Valley North, North York, Toronto, Golden Horseshoe, Ontario, M2H 1M1, Canada","(43.7996637, -79.3650189, 0.0)"
Humber Heights-Westmount,521,"3,981","45,615",-79.521263122513,43.6940193176715,"York Humber High School, 100, Emmett Avenue, Mount Dennis, York, York South—Weston, York, Toronto, Ontario, M6M 2E6, Canada","(43.68846955, -79.5063904344015, 0.0)"
Humber Summit,1590,"1,570","30,731",-79.558486938413,43.7601585388716,"Humber Summit, Humber River—Black Creek, North York, Toronto, Golden Horseshoe, Ontario, M9L 1C8, Canada","(43.7600778, -79.5717598, 0.0)"
Humbermede,968,"3,565","29,528",-79.537460327113,43.7428398132716,,
Humewood-Cedarvale,371,"7,682","65,274",-79.426979064913,43.6894187927715,"Cedarvale Park, Cedarvale, Toronto—St. Paul's, York, Toronto, Golden Horseshoe, Ontario, Canada","(43.69079835, -79.4253981936993, 0.0)"
Ionview,804,"7,031","31,383",-79.2732009881298,43.7362899780716,"Ionview, Scarborough, Scarborough Centre, Scarborough, Toronto, Golden Horseshoe, Ontario, M1K 2Z9, Canada","(43.7359904, -79.2765146, 0.0)"
Islington-City Centre West,2589,"2,712","52,787",-79.542961120613,43.63608169557139,,
Junction Area,1043,"5,442","49,709",-79.472030639613,43.6690711977154,"Junction area, Grad Umag, Istarska županija, Hrvatska","(45.48625645, 13.2839905472599, 0.0)"
Keelesdale-Eglinton West,503,"6,467","33,316",-79.46927642821299,43.6856918334715,"Keelesdale, Eglinton Avenue West, Keelesdale, York, York South—Weston, York, Toronto, Golden Horseshoe, Ontario, M6M 1T9, Canada","(43.6901578, -79.4749985, 0.0)"
Kennedy Park,1577,"4,770","30,974",-79.2623214721129,43.7258682250716,"Kennedy Park, Tuscaloosa County, Alabama, 35467, United States","(33.2181738, -87.5111163, 0.0)"
Kensington-Chinatown,3263,"11,806","37,422",-79.396339416513,43.6533088684715,"The Kensington, 665, Boylston Square, Chinatown, Beacon Hill, Boston, Suffolk County, Massachusetts, 02111, United States","(42.35177715, -71.0631869969193, 0.0)"
Kingsview Village-The Westway,1116,"4,356","36,674",-79.549240112313,43.699440002471505,"Westway Medical Clinic, Northcrest Road, Martin Grove Gardens, Etobicoke, Etobicoke Centre, Etobicoke, Toronto, Ontario, M9R 2K5, Canada","(43.6926457, -79.557049, 0.0)"
Kingsway South,454,"3,593","144,642",-79.511123657213,43.6543312072715,"Kingsway South, Team Valley Trading Estate, Lamesley, Gateshead, Tyne and Wear, North East England, England, NE11 0RU, United Kingdom","(54.9282737, -1.6166207, 0.0)"
L'Amoreaux,1570,"6,144","31,826",-79.31220245361291,43.797260284471704,"L'Amoreaux, Scarborough—Agincourt, Scarborough, Toronto, Golden Horseshoe, Ontario, M1V 1S4, Canada","(43.799003, -79.3059669, 0.0)"
Lambton Baby Point,193,"4,697","76,629",-79.49751281731301,43.65932083127149,"Lambton Memorial Baby Health Centre, Elder Street, Lambton, Newcastle-Maitland, Newcastle City Council, New South Wales, 2299, Australia","(-32.91202505, 151.709806753209, 0.0)"
Lansing-Westgate,643,"3,038","72,371",-79.424201965313,43.754631042716795,"G, 2250, North Triphammer Road, Lansing, Lansing Town, Tompkins County, New York, 14882, United States","(42.478656, -76.48613845, 0.0)"
Lawrence Park North,445,"6,407","111,730",-79.40641784613001,43.728298187271605,"Lawrence Park, Westchester County, New York, 10708, United States","(40.9403765, -73.8484677, 0.0)"
Lawrence Park South,468,"4,685","169,203",-79.405738830513,43.718528747571604,"Lawrence Park, Westchester County, New York, 10708, United States","(40.9403765, -73.8484677, 0.0)"
Leaside-Bennington,507,"3,596","125,564",-79.367576599113,43.700710296671495,,
Little Portugal,703,"12,859","45,737",-79.4290313721301,43.6474800109715,"Little Portugal, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada","(43.64741325, -79.4311163254605, 0.0)"
Long Branch,557,"4,584","47,384",-79.532722473113,43.593528747571405,"Long Branch, Monmouth County, New Jersey, 07740, United States","(40.3042778, -73.9923596, 0.0)"
Malvern,2024,"4,948","29,573",-79.2208404541129,43.80976867677171,"Malvern, Worcestershire, West Midlands, England, WR14 2HX, United Kingdom","(52.1159559, -2.3258985, 0.0)"
Maple Leaf,459,"4,012","37,108",-79.479782104413,43.7146186828716,"Maple Leaf, York, York South—Weston, North York, Toronto, Ontario, M6L 1P3, Canada","(43.7122767, -79.4901977, 0.0)"
Markland Wood,293,"3,614","62,378",-79.569480895913,43.6339111328714,"Ravens Wood, Johnson Fold, Markland Hill, Bolton, Greater Manchester, North West England, England, BL1 5TL, United Kingdom","(53.5782296, -2.4801356, 0.0)"
Milliken,1414,"2,830","28,085",-79.27693939212979,43.8227996826717,"Milliken, Kanawha County, West Virginia, 25023, United States","(38.4017642, -81.5459558, 0.0)"
Morningside,871,"3,041","32,291",-79.2052307128129,43.782550811771706,"Morningside, Edinburgh, City of Edinburgh, Scotland, United Kingdom","(55.9296409, -3.2100796, 0.0)"
Moss Park,3609,"14,753","58,915",-79.36799621513,43.655021667715204,"Moss Park, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 1S2, Canada","(43.6546438, -79.3697278, 0.0)"
Mount Dennis,870,"6,442","30,827",-79.4955215451302,43.6890983581715,"Mount Dennis, York, York South—Weston, York, Toronto, Golden Horseshoe, Ontario, M6M 5C4, Canada","(43.6869597, -79.4895513, 0.0)"
Mount Olive-Silverstone-Jamestown,2257,"7,291","26,548",-79.588256835913,43.7472114562716,,
